t(c)	theta_c(grad)
8.760	83.791
8.770	83.791
8.780	83.791
8.790	83.791
8.800	83.791
8.810	83.791
8.820	83.792
8.830	83.792
8.840	83.792
8.850	83.792
8.860	83.792
8.870	83.793
8.880	83.793
8.890	83.793
8.900	83.793
8.910	83.793
8.920	83.794
8.930	83.794
8.940	83.794
8.950	83.794
8.960	83.794
8.970	83.795
8.980	83.795
8.990	83.795
9.000	83.795
9.010	83.795
9.020	83.795
9.030	83.796
9.040	83.796
9.050	83.796
9.060	83.796
9.070	83.796
9.080	83.797
9.090	83.797
9.100	83.797
9.110	83.797
9.120	83.797
9.130	83.798
9.140	83.798
9.150	83.798
9.160	83.798
9.170	83.798
9.180	83.799
9.190	83.799
9.200	83.799
9.210	83.799
9.220	83.799
9.230	83.800
9.240	83.800
9.250	83.800
9.260	83.800
9.270	83.801
9.280	83.801
9.290	83.801
9.300	83.801
9.310	83.801
9.320	83.802
9.330	83.802
9.340	83.802
9.350	83.802
9.360	83.802
9.370	83.803
9.380	83.803
9.390	83.803
9.400	83.803
9.410	83.803
9.420	83.804
9.430	83.804
9.440	83.804
9.450	83.804
9.460	83.804
9.470	83.805
9.480	83.805
9.490	83.805
9.500	83.805
9.510	83.805
9.520	83.806
9.530	83.806
9.540	83.806
9.550	83.806
9.560	83.806
9.570	83.807
9.580	83.807
9.590	83.807
9.600	83.807
9.610	83.808
9.620	83.808
9.630	83.808
9.640	83.808
9.650	83.808
9.660	83.809
9.670	83.809
9.680	83.809
9.690	83.809
9.700	83.809
9.710	83.810
9.720	83.810
9.730	83.810
9.740	83.810
9.750	83.810
9.760	83.811
9.770	83.811
9.780	83.811
9.790	83.811
9.800	83.811
9.810	83.812
9.820	83.812
9.830	83.812
9.840	83.812
9.850	83.812
9.860	83.813
9.870	83.813
9.880	83.813
9.890	83.813
9.900	83.813
9.910	83.814
9.920	83.814
9.930	83.814
9.940	83.814
9.950	83.814
9.960	83.815
9.970	83.815
9.980	83.815
9.990	83.815
10.000	83.815
10.010	83.816
10.020	83.816
10.030	83.816
10.040	83.816
10.050	83.816
10.060	83.816
10.070	83.817
10.080	83.817
10.090	83.817
10.100	83.817
10.110	83.817
10.120	83.818
10.130	83.818
10.140	83.818
10.150	83.818
10.160	83.818
10.170	83.819
10.180	83.819
10.190	83.819
10.200	83.819
10.210	83.819
10.220	83.819
10.230	83.820
10.240	83.820
10.250	83.820
10.260	83.820
10.270	83.820
10.280	83.821
10.290	83.821
10.300	83.821
10.310	83.821
10.320	83.821
10.330	83.822
10.340	83.822
10.350	83.822
10.360	83.822
10.370	83.822
10.380	83.822
10.390	83.823
10.400	83.823
10.410	83.823
10.420	83.823
10.430	83.823
10.440	83.824
10.450	83.824
10.460	83.824
10.470	83.824
10.480	83.824
10.490	83.825
10.500	83.825
10.510	83.825
10.520	83.825
10.530	83.825
10.540	83.826
10.550	83.826
10.560	83.826
10.570	83.826
10.580	83.826
10.590	83.827
10.600	83.827
10.610	83.827
