t(c)	V(m/s)
0.773	37.156
0.774	37.191
0.775	37.226
0.776	37.262
0.777	37.297
0.778	37.333
0.779	37.368
0.780	37.403
0.781	37.439
0.782	37.474
0.783	37.510
0.784	37.545
0.785	37.580
0.786	37.616
0.787	37.651
0.788	37.687
0.789	37.722
0.790	37.757
0.791	37.793
0.792	37.828
0.793	37.864
0.794	37.899
0.795	37.935
0.796	37.970
0.797	38.005
0.798	38.041
0.799	38.076
0.800	38.112
0.801	38.147
0.802	38.182
0.803	38.218
0.804	38.253
0.805	38.289
0.806	38.324
0.807	38.360
0.808	38.395
0.809	38.430
0.810	38.466
0.811	38.501
0.812	38.537
0.813	38.572
0.814	38.608
0.815	38.643
0.816	38.678
0.817	38.714
0.818	38.749
0.819	38.785
0.820	38.820
0.821	38.856
0.822	38.891
0.823	38.926
0.824	38.962
0.825	38.997
0.826	39.033
0.827	39.068
0.828	39.104
0.829	39.139
0.830	39.175
0.831	39.210
0.832	39.245
0.833	39.281
0.834	39.316
0.835	39.352
0.836	39.387
0.837	39.423
0.838	39.458
0.839	39.493
0.840	39.529
0.841	39.564
0.842	39.600
0.843	39.635
0.844	39.671
0.845	39.706
0.846	39.742
0.847	39.777
0.848	39.813
0.849	39.848
0.850	39.883
0.851	39.919
0.852	39.954
0.853	39.990
0.854	40.025
0.855	40.061
0.856	40.096
0.857	40.132
0.858	40.167
0.859	40.203
0.860	40.238
0.861	40.273
0.862	40.309
0.863	40.344
0.864	40.380
0.865	40.415
0.866	40.451
0.867	40.486
0.868	40.522
0.869	40.557
0.870	40.593
0.871	40.628
0.872	40.664
0.873	40.699
0.874	40.735
0.875	40.770
0.876	40.805
0.877	40.841
0.878	40.876
0.879	40.912
0.880	40.947
0.881	40.983
0.882	41.018
0.883	41.054
0.884	41.089
0.885	41.125
0.886	41.160
0.887	41.196
0.888	41.231
0.889	41.267
0.890	41.302
0.891	41.338
0.892	41.373
0.893	41.409
0.894	41.444
0.895	41.480
0.896	41.515
0.897	41.551
0.898	41.586
0.899	41.621
0.900	41.657
0.901	41.692
0.902	41.728
0.903	41.763
0.904	41.799
0.905	41.834
0.906	41.870
0.907	41.905
0.908	41.941
0.909	41.976
0.910	42.012
0.911	42.047
0.912	42.083
0.913	42.118
0.914	42.154
0.915	42.189
0.916	42.225
0.917	42.260
0.918	42.296
0.919	42.331
0.920	42.367
0.921	42.402
0.922	42.438
0.923	42.473
0.924	42.509
0.925	42.544
0.926	42.580
0.927	42.615
0.928	42.651
0.929	42.686
0.930	42.722
0.931	42.757
0.932	42.793
0.933	42.828
0.934	42.864
0.935	42.899
0.936	42.935
0.937	42.970
0.938	43.006
0.939	43.041
0.940	43.077
0.941	43.112
0.942	43.148
0.943	43.184
0.944	43.219
0.945	43.255
0.946	43.290
0.947	43.326
0.948	43.361
0.949	43.397
0.950	43.432
0.951	43.468
0.952	43.503
0.953	43.539
0.954	43.574
0.955	43.610
0.956	43.645
0.957	43.681
0.958	43.716
0.959	43.752
0.960	43.787
0.961	43.823
0.962	43.858
0.963	43.894
0.964	43.930
0.965	43.965
0.966	44.001
0.967	44.036
0.968	44.072
0.969	44.107
0.970	44.143
0.971	44.178
0.972	44.214
0.973	44.249
0.974	44.285
0.975	44.320
0.976	44.356
0.977	44.391
0.978	44.427
0.979	44.463
0.980	44.498
0.981	44.534
0.982	44.569
0.983	44.605
0.984	44.640
0.985	44.676
0.986	44.711
0.987	44.747
0.988	44.782
0.989	44.818
0.990	44.854
0.991	44.889
0.992	44.925
0.993	44.960
0.994	44.996
0.995	45.031
0.996	45.067
0.997	45.102
0.998	45.138
0.999	45.173
1.000	45.209
1.001	45.245
1.002	45.280
1.003	45.316
1.004	45.351
1.005	45.387
1.006	45.422
1.007	45.458
1.008	45.493
1.009	45.529
1.010	45.565
1.011	45.600
1.012	45.636
1.013	45.671
1.014	45.707
