t(c)	x(m)
0.592	1.30
0.593	1.30
0.594	1.31
0.595	1.31
0.596	1.31
0.597	1.32
0.598	1.32
0.599	1.33
0.600	1.33
0.601	1.33
0.602	1.34
0.603	1.34
0.604	1.34
0.605	1.35
0.606	1.35
0.607	1.36
0.608	1.36
0.609	1.36
0.610	1.37
0.611	1.37
0.612	1.37
0.613	1.38
0.614	1.38
0.615	1.39
0.616	1.39
0.617	1.39
0.618	1.40
0.619	1.40
0.620	1.40
0.621	1.41
0.622	1.41
0.623	1.42
0.624	1.42
0.625	1.42
0.626	1.43
0.627	1.43
0.628	1.44
0.629	1.44
0.630	1.44
0.631	1.45
0.632	1.45
0.633	1.45
0.634	1.46
0.635	1.46
0.636	1.47
0.637	1.47
0.638	1.47
0.639	1.48
0.640	1.48
0.641	1.49
0.642	1.49
0.643	1.49
0.644	1.50
0.645	1.50
0.646	1.51
0.647	1.51
0.648	1.51
0.649	1.52
0.650	1.52
0.651	1.53
0.652	1.53
0.653	1.53
0.654	1.54
0.655	1.54
0.656	1.55
0.657	1.55
0.658	1.55
0.659	1.56
0.660	1.56
0.661	1.57
0.662	1.57
0.663	1.57
0.664	1.58
0.665	1.58
0.666	1.59
0.667	1.59
0.668	1.59
0.669	1.60
0.670	1.60
0.671	1.61
0.672	1.61
0.673	1.61
0.674	1.62
0.675	1.62
0.676	1.63
0.677	1.63
0.678	1.63
0.679	1.64
0.680	1.64
0.681	1.65
0.682	1.65
0.683	1.66
0.684	1.66
0.685	1.66
0.686	1.67
0.687	1.67
0.688	1.68
0.689	1.68
0.690	1.68
0.691	1.69
0.692	1.69
0.693	1.70
0.694	1.70
0.695	1.71
0.696	1.71
0.697	1.71
0.698	1.72
0.699	1.72
0.700	1.73
0.701	1.73
0.702	1.74
0.703	1.74
0.704	1.74
0.705	1.75
0.706	1.75
0.707	1.76
0.708	1.76
0.709	1.77
0.710	1.77
0.711	1.77
0.712	1.78
0.713	1.78
0.714	1.79
0.715	1.79
0.716	1.80
0.717	1.80
0.718	1.80
0.719	1.81
0.720	1.81
0.721	1.82
0.722	1.82
0.723	1.83
0.724	1.83
0.725	1.84
0.726	1.84
0.727	1.84
0.728	1.85
0.729	1.85
0.730	1.86
0.731	1.86
0.732	1.87
0.733	1.87
0.734	1.88
0.735	1.88
0.736	1.88
0.737	1.89
0.738	1.89
0.739	1.90
0.740	1.90
0.741	1.91
0.742	1.91
0.743	1.92
0.744	1.92
0.745	1.92
0.746	1.93
0.747	1.93
0.748	1.94
0.749	1.94
0.750	1.95
0.751	1.95
0.752	1.96
0.753	1.96
0.754	1.97
0.755	1.97
0.756	1.97
0.757	1.98
0.758	1.98
0.759	1.99
0.760	1.99
0.761	2.00
0.762	2.00
0.763	2.01
0.764	2.01
0.765	2.02
0.766	2.02
0.767	2.02
0.768	2.03
0.769	2.03
0.770	2.04
0.771	2.04
0.772	2.05
0.773	2.05
0.774	2.06
0.775	2.06
0.776	2.07
0.777	2.07
0.778	2.08
0.779	2.08
0.780	2.09
0.781	2.09
0.782	2.09
0.783	2.10
0.784	2.10
0.785	2.11
0.786	2.11
0.787	2.12
0.788	2.12
0.789	2.13
