x(m)	theta_c(grad)
111.00	83.770
111.30	83.770
111.59	83.770
111.89	83.770
112.19	83.770
112.49	83.770
112.79	83.771
113.09	83.771
113.39	83.771
113.69	83.771
113.99	83.771
114.30	83.771
114.60	83.771
114.90	83.771
115.20	83.772
115.51	83.772
115.81	83.772
116.11	83.772
116.42	83.772
116.72	83.772
117.03	83.772
117.33	83.773
117.64	83.773
117.94	83.773
118.25	83.773
118.56	83.773
118.86	83.773
119.17	83.773
119.48	83.773
119.79	83.774
120.10	83.774
120.41	83.774
120.72	83.774
121.03	83.774
121.34	83.774
121.65	83.774
121.96	83.775
122.27	83.775
122.58	83.775
122.89	83.775
123.21	83.775
123.52	83.775
123.83	83.775
124.15	83.776
124.46	83.776
124.77	83.776
125.09	83.776
125.40	83.776
125.72	83.776
126.04	83.776
126.35	83.776
126.67	83.777
126.99	83.777
127.30	83.777
127.62	83.777
127.94	83.777
128.26	83.777
128.58	83.777
128.89	83.778
129.21	83.778
129.53	83.778
129.85	83.778
130.18	83.778
130.50	83.778
130.82	83.778
131.14	83.779
131.46	83.779
131.78	83.779
132.11	83.779
132.43	83.779
132.75	83.779
133.08	83.779
133.40	83.779
133.73	83.780
134.05	83.780
134.38	83.780
134.70	83.780
135.03	83.780
135.36	83.780
135.68	83.780
136.01	83.781
136.34	83.781
136.67	83.781
136.99	83.781
137.32	83.781
137.65	83.781
137.98	83.781
138.31	83.782
138.64	83.782
138.97	83.782
139.30	83.782
139.63	83.782
139.96	83.782
140.30	83.782
140.63	83.783
140.96	83.783
141.29	83.783
141.63	83.783
141.96	83.783
142.30	83.783
142.63	83.783
142.96	83.784
143.30	83.784
143.63	83.784
143.97	83.784
144.31	83.784
144.64	83.784
144.98	83.784
145.32	83.785
145.66	83.785
145.99	83.785
146.33	83.785
146.67	83.785
147.01	83.785
147.35	83.786
147.69	83.786
148.03	83.786
148.37	83.786
148.71	83.786
149.05	83.786
149.39	83.787
149.73	83.787
150.08	83.787
150.42	83.787
150.76	83.787
151.10	83.787
151.45	83.788
151.79	83.788
152.14	83.788
152.48	83.788
152.83	83.788
153.17	83.788
153.52	83.789
153.86	83.789
154.21	83.789
154.56	83.789
154.90	83.789
155.25	83.789
155.60	83.790
155.95	83.790
156.29	83.790
156.64	83.790
156.99	83.790
157.34	83.790
157.69	83.791
158.04	83.791
158.39	83.791
158.74	83.791
159.09	83.791
159.45	83.792
159.80	83.792
160.15	83.792
160.50	83.792
160.86	83.792
161.21	83.792
161.56	83.793
161.92	83.793
162.27	83.793
162.62	83.793
162.98	83.793
163.33	83.794
163.69	83.794
164.05	83.794
164.40	83.794
164.76	83.794
165.12	83.794
165.47	83.795
165.83	83.795
166.19	83.795
166.55	83.795
166.91	83.795
167.26	83.796
167.62	83.796
167.98	83.796
168.34	83.796
168.70	83.796
169.06	83.797
169.43	83.797
169.79	83.797
170.15	83.797
170.51	83.797
170.87	83.798
171.24	83.798
171.60	83.798
171.96	83.798
172.32	83.798
172.69	83.799
173.05	83.799
173.42	83.799
173.78	83.799
174.15	83.799
174.51	83.800
174.88	83.800
175.25	83.800
175.61	83.800
175.98	83.800
176.35	83.801
176.71	83.801
177.08	83.801
177.45	83.801
177.82	83.801
178.19	83.802
178.56	83.802
178.93	83.802
179.30	83.802
179.67	83.802
180.04	83.803
180.41	83.803
180.78	83.803
181.15	83.803
181.52	83.803
181.89	83.804
182.27	83.804
182.64	83.804
183.01	83.804
183.38	83.804
183.76	83.805
184.13	83.805
184.51	83.805
184.88	83.805
185.26	83.805
185.63	83.806
186.01	83.806
186.38	83.806
186.76	83.806
187.14	83.806
187.51	83.807
187.89	83.807
188.27	83.807
188.65	83.807
189.02	83.807
189.40	83.808
189.78	83.808
190.16	83.808
190.54	83.808
190.92	83.809
191.30	83.809
191.68	83.809
192.06	83.809
192.44	83.809
192.83	83.810
193.21	83.810
193.59	83.810
193.97	83.810
194.35	83.810
194.74	83.811
195.12	83.811
195.50	83.811
195.89	83.811
196.27	83.811
196.66	83.812
197.04	83.812
197.43	83.812
197.81	83.812
198.20	83.812
198.59	83.813
198.97	83.813
199.36	83.813
199.75	83.813
200.13	83.813
200.52	83.814
200.91	83.814
201.30	83.814
201.69	83.814
202.08	83.814
202.47	83.815
202.86	83.815
203.25	83.815
203.64	83.815
204.03	83.815
204.42	83.816
204.81	83.816
205.20	83.816
205.59	83.816
205.99	83.816
206.38	83.816
206.77	83.817
207.16	83.817
207.56	83.817
207.95	83.817
208.35	83.817
208.74	83.818
209.13	83.818
209.53	83.818
209.93	83.818
210.32	83.818
210.72	83.819
211.11	83.819
211.51	83.819
211.91	83.819
212.30	83.819
212.70	83.819
213.10	83.820
213.50	83.820
213.90	83.820
214.30	83.820
214.70	83.820
215.10	83.821
215.50	83.821
215.90	83.821
216.30	83.821
216.70	83.821
217.10	83.822
217.50	83.822
217.90	83.822
218.30	83.822
218.71	83.822
219.11	83.822
219.51	83.823
219.91	83.823
220.32	83.823
220.72	83.823
221.13	83.823
221.53	83.824
221.94	83.824
222.34	83.824
222.75	83.824
223.15	83.824
223.56	83.825
223.96	83.825
224.37	83.825
224.78	83.825
225.19	83.825
225.59	83.825
226.00	83.826
226.41	83.826
226.82	83.826
227.23	83.826
227.64	83.826
228.05	83.827
228.46	83.827
228.87	83.827
229.28	83.827
229.69	83.827
230.10	83.828
230.51	83.828
230.92	83.828
231.33	83.828
231.75	83.828
232.16	83.829
232.57	83.829
232.99	83.829
233.40	83.829
233.81	83.829
234.23	83.829
234.64	83.830
235.06	83.830
235.47	83.830
235.89	83.830
236.30	83.830
236.72	83.831
237.14	83.831
237.55	83.831
237.97	83.831
238.39	83.831
238.81	83.832
239.22	83.832
239.64	83.832
240.06	83.832
240.48	83.832
240.90	83.833
241.32	83.833
241.74	83.833
242.16	83.833
242.58	83.833
243.00	83.833
243.42	83.834
243.84	83.834
244.26	83.834
244.69	83.834
245.11	83.834
245.53	83.835
245.95	83.835
246.38	83.835
246.80	83.835
247.23	83.835
247.65	83.836
248.07	83.836
248.50	83.836
248.92	83.836
249.35	83.836
249.78	83.837
250.20	83.837
250.63	83.837
251.05	83.837
251.48	83.837
251.91	83.838
252.34	83.838
252.76	83.838
253.19	83.838
253.62	83.838
254.05	83.839
254.48	83.839
254.91	83.839
255.34	83.839
255.77	83.839
256.20	83.840
256.63	83.840
257.06	83.840
257.49	83.840
257.92	83.840
258.36	83.841
258.79	83.841
259.22	83.841
259.65	83.841
260.09	83.841
260.52	83.842
260.95	83.842
261.39	83.842
261.82	83.842
262.26	83.842
262.69	83.842
263.13	83.843
263.56	83.843
264.00	83.843
264.44	83.843
264.87	83.843
265.31	83.844
265.75	83.844
266.18	83.844
266.62	83.844
267.06	83.844
267.50	83.845
267.94	83.845
268.38	83.845
268.82	83.845
269.26	83.845
269.70	83.846
270.14	83.846
270.58	83.846
271.02	83.846
271.46	83.846
271.90	83.847
272.34	83.847
272.78	83.847
273.23	83.847
273.67	83.847
274.11	83.848
274.56	83.848
275.00	83.848
275.44	83.848
275.89	83.848
276.33	83.849
276.78	83.849
277.22	83.849
277.67	83.849
278.11	83.849
278.56	83.850
279.01	83.850
279.45	83.850
279.90	83.850
280.35	83.850
280.80	83.851
281.24	83.851
281.69	83.851
282.14	83.851
282.59	83.851
283.04	83.852
283.49	83.852
283.94	83.852
284.39	83.852
284.84	83.852
285.29	83.853
285.74	83.853
286.19	83.853
286.64	83.853
287.09	83.853
287.55	83.854
288.00	83.854
288.45	83.854
288.91	83.854
289.36	83.854
289.81	83.855
290.27	83.855
290.72	83.855
291.18	83.855
291.63	83.855
292.09	83.856
292.54	83.856
293.00	83.856
293.45	83.856
293.91	83.856
294.37	83.857
294.82	83.857
295.28	83.857
295.74	83.857
296.20	83.858
296.66	83.858
297.11	83.858
297.57	83.858
298.03	83.858
298.49	83.859
298.95	83.859
299.41	83.859
299.87	83.859
300.33	83.859
300.80	83.860
301.26	83.860
301.72	83.860
302.18	83.860
302.64	83.860
303.11	83.861
303.57	83.861
304.03	83.861
304.49	83.861
304.96	83.861
305.42	83.862
305.89	83.862
306.35	83.862
306.82	83.862
307.28	83.862
307.75	83.863
308.21	83.863
308.68	83.863
309.15	83.863
309.61	83.863
310.08	83.864
310.55	83.864
311.02	83.864
311.48	83.864
311.95	83.864
312.42	83.865
312.89	83.865
313.36	83.865
313.83	83.865
314.30	83.865
314.77	83.866
315.24	83.866
315.71	83.866
316.18	83.866
316.65	83.866
317.12	83.867
317.60	83.867
318.07	83.867
318.54	83.867
319.01	83.868
319.49	83.868
319.96	83.868
320.43	83.868
320.91	83.868
321.38	83.869
321.86	83.869
322.33	83.869
322.81	83.869
323.28	83.869
323.76	83.870
324.24	83.870
324.71	83.870
325.19	83.870
325.67	83.870
326.14	83.871
326.62	83.871
327.10	83.871
327.58	83.871
328.06	83.871
328.54	83.872
329.01	83.872
329.49	83.872
329.97	83.872
330.45	83.872
330.93	83.873
331.41	83.873
331.90	83.873
332.38	83.873
332.86	83.873
333.34	83.874
333.82	83.874
334.31	83.874
334.79	83.874
335.27	83.875
335.75	83.875
336.24	83.875
336.72	83.875
337.21	83.875
337.69	83.876
338.18	83.876
338.66	83.876
339.15	83.876
339.63	83.876
340.12	83.877
340.60	83.877
341.09	83.877
341.58	83.877
342.07	83.877
342.55	83.878
343.04	83.878
343.53	83.878
344.02	83.878
344.51	83.878
345.00	83.879
345.48	83.879
345.97	83.879
346.46	83.879
346.95	83.880
347.44	83.880
347.94	83.880
348.43	83.880
348.92	83.880
349.41	83.881
349.90	83.881
350.39	83.881
350.89	83.881
351.38	83.881
351.87	83.882
352.37	83.882
352.86	83.882
353.35	83.882
353.85	83.882
354.34	83.883
354.84	83.883
355.33	83.883
355.83	83.883
356.33	83.883
356.82	83.884
357.32	83.884
357.81	83.884
358.31	83.884
358.81	83.885
359.31	83.885
359.80	83.885
360.30	83.885
360.80	83.885
361.30	83.886
361.80	83.886
362.30	83.886
362.80	83.886
363.30	83.886
363.80	83.887
364.30	83.887
364.80	83.887
365.30	83.887
365.80	83.887
366.30	83.888
366.81	83.888
367.31	83.888
367.81	83.888
368.31	83.889
368.82	83.889
369.32	83.889
369.83	83.889
370.33	83.889
370.83	83.890
371.34	83.890
371.84	83.890
372.35	83.890
372.85	83.890
373.36	83.891
373.87	83.891
374.37	83.891
374.88	83.891
375.39	83.891
375.89	83.892
376.40	83.892
376.91	83.892
377.42	83.892
377.93	83.893
378.44	83.893
378.94	83.893
379.45	83.893
379.96	83.893
380.47	83.894
380.98	83.894
381.50	83.894
382.01	83.894
382.52	83.894
383.03	83.895
383.54	83.895
384.05	83.895
384.57	83.895
385.08	83.895
385.59	83.896
386.10	83.896
386.62	83.896
387.13	83.896
387.65	83.897
388.16	83.897
388.67	83.897
389.19	83.897
389.71	83.897
390.22	83.898
390.74	83.898
391.25	83.898
391.77	83.898
392.29	83.898
392.80	83.899
393.32	83.899
393.84	83.899
394.36	83.899
394.88	83.900
395.39	83.900
395.91	83.900
396.43	83.900
396.95	83.900
397.47	83.901
397.99	83.901
398.51	83.901
399.03	83.901
399.55	83.901
400.07	83.902
400.60	83.902
401.12	83.902
401.64	83.902
402.16	83.902
402.68	83.903
403.21	83.903
403.73	83.903
404.25	83.903
404.78	83.904
405.30	83.904
405.83	83.904
406.35	83.904
406.88	83.904
407.40	83.905
407.93	83.905
408.45	83.905
408.98	83.905
409.51	83.905
410.03	83.906
410.56	83.906
411.09	83.906
411.62	83.906
412.14	83.907
412.67	83.907
413.20	83.907
413.73	83.907
414.26	83.907
414.79	83.908
415.32	83.908
415.85	83.908
416.38	83.908
416.91	83.908
417.44	83.909
417.97	83.909
418.50	83.909
419.03	83.909
419.57	83.910
420.10	83.910
420.63	83.910
421.16	83.910
421.70	83.910
422.23	83.911
422.77	83.911
423.30	83.911
423.83	83.911
424.37	83.911
424.90	83.912
425.44	83.912
425.98	83.912
426.51	83.912
427.05	83.912
427.58	83.913
428.12	83.913
428.66	83.913
429.20	83.913
429.73	83.914
430.27	83.914
430.81	83.914
431.35	83.914
431.89	83.914
432.43	83.915
432.97	83.915
433.50	83.915
434.04	83.915
434.59	83.915
435.13	83.916
435.67	83.916
436.21	83.916
436.75	83.916
437.29	83.917
437.83	83.917
438.38	83.917
438.92	83.917
439.46	83.917
440.00	83.918
440.55	83.918
441.09	83.918
441.64	83.918
442.18	83.918
442.73	83.919
443.27	83.919
443.82	83.919
444.36	83.919
444.91	83.920
445.45	83.920
446.00	83.920
446.55	83.920
447.09	83.920
447.64	83.921
448.19	83.921
448.74	83.921
449.29	83.921
449.83	83.921
450.38	83.922
450.93	83.922
451.48	83.922
452.03	83.922
452.58	83.923
453.13	83.923
453.68	83.923
454.23	83.923
454.78	83.923
455.34	83.924
455.89	83.924
456.44	83.924
456.99	83.924
457.55	83.924
458.10	83.925
458.65	83.925
459.20	83.925
459.76	83.925
460.31	83.926
460.87	83.926
461.42	83.926
461.98	83.926
462.53	83.926
463.09	83.927
463.64	83.927
464.20	83.927
464.76	83.927
465.31	83.927
465.87	83.928
466.43	83.928
466.99	83.928
467.54	83.928
468.10	83.929
468.66	83.929
469.22	83.929
469.78	83.929
470.34	83.929
470.90	83.930
471.46	83.930
472.02	83.930
472.58	83.930
473.14	83.930
473.70	83.931
474.26	83.931
474.82	83.931
475.39	83.931
475.95	83.932
476.51	83.932
477.07	83.932
477.64	83.932
478.20	83.932
478.77	83.933
479.33	83.933
479.89	83.933
480.46	83.933
481.02	83.934
481.59	83.934
482.15	83.934
482.72	83.934
483.29	83.934
483.85	83.935
484.42	83.935
484.99	83.935
485.55	83.935
486.12	83.935
486.69	83.936
487.26	83.936
487.83	83.936
488.40	83.936
488.97	83.937
489.53	83.937
490.10	83.937
490.67	83.937
491.24	83.937
491.82	83.938
492.39	83.938
492.96	83.938
493.53	83.938
494.10	83.938
494.67	83.939
495.25	83.939
495.82	83.939
496.39	83.939
496.96	83.940
497.54	83.940
498.11	83.940
498.69	83.940
499.26	83.940
499.84	83.941
500.41	83.941
500.99	83.941
501.56	83.941
