t(c)	alpha(grad)
4.060	1.253
4.070	1.253
4.080	1.253
4.090	1.254
4.100	1.254
4.110	1.254
4.120	1.254
4.130	1.254
4.140	1.254
4.150	1.254
4.160	1.254
4.170	1.254
4.180	1.254
4.190	1.254
4.200	1.254
4.210	1.254
4.220	1.254
4.230	1.254
4.240	1.254
4.250	1.254
4.260	1.254
4.270	1.254
4.280	1.254
4.290	1.254
4.300	1.254
4.310	1.254
4.320	1.254
4.330	1.254
4.340	1.254
4.350	1.254
4.360	1.254
4.370	1.254
4.380	1.254
4.390	1.254
4.400	1.254
4.410	1.254
4.420	1.254
4.430	1.254
4.440	1.254
4.450	1.254
4.460	1.254
4.470	1.254
4.480	1.254
4.490	1.254
4.500	1.254
4.510	1.254
4.520	1.254
4.530	1.254
4.540	1.254
4.550	1.254
4.560	1.254
4.570	1.254
4.580	1.254
4.590	1.254
4.600	1.254
4.610	1.254
4.620	1.254
4.630	1.254
4.640	1.254
4.650	1.254
4.660	1.254
4.670	1.254
4.680	1.254
4.690	1.254
4.700	1.254
4.710	1.254
4.720	1.253
4.730	1.253
4.740	1.253
4.750	1.253
4.760	1.253
4.770	1.253
4.780	1.253
4.790	1.253
4.800	1.253
4.810	1.253
4.820	1.253
4.830	1.253
4.840	1.253
4.850	1.253
4.860	1.253
4.870	1.253
4.880	1.253
4.890	1.253
4.900	1.253
4.910	1.253
4.920	1.253
4.930	1.253
4.940	1.253
4.950	1.253
4.960	1.253
4.970	1.253
4.980	1.253
4.990	1.253
5.000	1.252
5.010	1.252
5.020	1.252
5.030	1.252
5.040	1.252
5.050	1.252
5.060	1.252
5.070	1.252
5.080	1.252
5.090	1.252
5.100	1.252
5.110	1.252
5.120	1.252
5.130	1.252
5.140	1.252
5.150	1.252
5.160	1.252
5.170	1.252
5.180	1.252
5.190	1.251
5.200	1.251
5.210	1.251
5.220	1.251
5.230	1.251
5.240	1.251
5.250	1.251
5.260	1.251
5.270	1.251
5.280	1.251
5.290	1.251
5.300	1.251
5.310	1.251
5.320	1.251
5.330	1.251
5.340	1.251
5.350	1.250
5.360	1.250
5.370	1.250
5.380	1.250
5.390	1.250
5.400	1.250
5.410	1.250
5.420	1.250
5.430	1.250
5.440	1.250
5.450	1.250
5.460	1.250
5.470	1.250
5.480	1.250
5.490	1.250
5.500	1.249
5.510	1.249
5.520	1.249
5.530	1.249
5.540	1.249
5.550	1.249
5.560	1.249
5.570	1.249
5.580	1.249
5.590	1.249
5.600	1.249
5.610	1.249
5.620	1.249
5.630	1.248
5.640	1.248
5.650	1.248
5.660	1.248
5.670	1.248
5.680	1.248
5.690	1.248
5.700	1.248
5.710	1.248
5.720	1.248
5.730	1.248
5.740	1.248
5.750	1.247
5.760	1.247
5.770	1.247
5.780	1.247
5.790	1.247
5.800	1.247
5.810	1.247
5.820	1.247
5.830	1.247
5.840	1.247
5.850	1.247
5.860	1.246
5.870	1.246
5.880	1.246
5.890	1.246
5.900	1.246
5.910	1.246
5.920	1.246
5.930	1.246
5.940	1.246
5.950	1.246
5.960	1.246
5.970	1.245
5.980	1.245
5.990	1.245
6.000	1.245
6.010	1.245
6.020	1.245
6.030	1.245
6.040	1.245
6.050	1.245
6.060	1.245
6.070	1.244
6.080	1.244
6.090	1.244
6.100	1.244
6.110	1.244
6.120	1.244
6.130	1.244
6.140	1.244
6.150	1.244
6.160	1.244
6.170	1.243
6.180	1.243
6.190	1.243
6.200	1.243
6.210	1.243
6.220	1.243
6.230	1.243
6.240	1.243
6.250	1.243
6.260	1.242
6.270	1.242
6.280	1.242
6.290	1.242
6.300	1.242
6.310	1.242
6.320	1.242
6.330	1.242
6.340	1.242
6.350	1.242
6.360	1.241
6.370	1.241
6.380	1.241
6.390	1.241
6.400	1.241
6.410	1.241
6.420	1.241
6.430	1.241
6.440	1.241
6.450	1.240
6.460	1.240
6.470	1.240
6.480	1.240
6.490	1.240
6.500	1.240
6.510	1.240
6.520	1.240
6.530	1.239
6.540	1.239
6.550	1.239
6.560	1.239
6.570	1.239
6.580	1.239
6.590	1.239
6.600	1.239
6.610	1.239
6.620	1.238
6.630	1.238
6.640	1.238
6.650	1.238
6.660	1.238
6.670	1.238
6.680	1.238
6.690	1.238
6.700	1.237
6.710	1.237
6.720	1.237
6.730	1.237
6.740	1.237
6.750	1.237
6.760	1.237
6.770	1.237
6.780	1.236
6.790	1.236
6.800	1.236
6.810	1.236
6.820	1.236
6.830	1.236
6.840	1.236
6.850	1.236
6.860	1.235
6.870	1.235
6.880	1.235
6.890	1.235
6.900	1.235
6.910	1.235
6.920	1.235
6.930	1.235
6.940	1.234
6.950	1.234
6.960	1.234
6.970	1.234
6.980	1.234
6.990	1.234
7.000	1.234
7.010	1.234
7.020	1.233
7.030	1.233
7.040	1.233
7.050	1.233
7.060	1.233
7.070	1.233
7.080	1.233
7.090	1.232
7.100	1.232
7.110	1.232
7.120	1.232
7.130	1.232
7.140	1.232
7.150	1.232
7.160	1.232
7.170	1.231
7.180	1.231
7.190	1.231
7.200	1.231
7.210	1.231
7.220	1.231
7.230	1.231
7.240	1.230
7.250	1.230
7.260	1.230
7.270	1.230
7.280	1.230
7.290	1.230
7.300	1.230
7.310	1.229
7.320	1.229
7.330	1.229
7.340	1.229
7.350	1.229
7.360	1.229
7.370	1.229
7.380	1.229
7.390	1.228
7.400	1.228
7.410	1.228
7.420	1.228
7.430	1.228
7.440	1.228
7.450	1.228
7.460	1.227
7.470	1.227
7.480	1.227
7.490	1.227
7.500	1.227
7.510	1.227
7.520	1.227
7.530	1.227
7.540	1.226
7.550	1.226
7.560	1.226
7.570	1.226
7.580	1.226
7.590	1.226
7.600	1.226
7.610	1.225
7.620	1.225
7.630	1.225
7.640	1.225
7.650	1.225
7.660	1.225
7.670	1.225
7.680	1.224
7.690	1.224
7.700	1.224
7.710	1.224
7.720	1.224
7.730	1.224
7.740	1.224
7.750	1.224
7.760	1.223
7.770	1.223
7.780	1.223
7.790	1.223
7.800	1.223
7.810	1.223
7.820	1.223
7.830	1.222
7.840	1.222
7.850	1.222
7.860	1.222
7.870	1.222
7.880	1.222
7.890	1.222
7.900	1.221
7.910	1.221
7.920	1.221
7.930	1.221
7.940	1.221
7.950	1.221
7.960	1.221
7.970	1.221
7.980	1.220
7.990	1.220
8.000	1.220
8.010	1.220
8.020	1.220
8.030	1.220
8.040	1.220
8.050	1.219
8.060	1.219
8.070	1.219
8.080	1.219
8.090	1.219
8.100	1.219
8.110	1.219
8.120	1.218
8.130	1.218
8.140	1.218
8.150	1.218
8.160	1.218
8.170	1.218
8.180	1.218
8.190	1.217
8.200	1.217
8.210	1.217
8.220	1.217
8.230	1.217
8.240	1.217
8.250	1.217
8.260	1.216
8.270	1.216
8.280	1.216
8.290	1.216
8.300	1.216
8.310	1.216
8.320	1.216
8.330	1.215
8.340	1.215
8.350	1.215
8.360	1.215
8.370	1.215
8.380	1.215
8.390	1.214
8.400	1.214
8.410	1.214
8.420	1.214
8.430	1.214
8.440	1.214
8.450	1.213
8.460	1.213
8.470	1.213
8.480	1.213
8.490	1.213
8.500	1.213
8.510	1.212
8.520	1.212
8.530	1.212
8.540	1.212
8.550	1.212
8.560	1.212
8.570	1.211
8.580	1.211
8.590	1.211
8.600	1.211
8.610	1.211
8.620	1.211
8.630	1.210
8.640	1.210
8.650	1.210
8.660	1.210
8.670	1.210
8.680	1.210
8.690	1.209
8.700	1.209
8.710	1.209
8.720	1.209
8.730	1.209
8.740	1.208
8.750	1.208
8.760	1.208
8.770	1.208
8.780	1.208
8.790	1.208
8.800	1.207
8.810	1.207
8.820	1.207
8.830	1.207
8.840	1.207
8.850	1.206
8.860	1.206
8.870	1.206
8.880	1.206
8.890	1.206
8.900	1.206
8.910	1.205
8.920	1.205
8.930	1.205
8.940	1.205
8.950	1.205
8.960	1.204
8.970	1.204
8.980	1.204
8.990	1.204
9.000	1.204
9.010	1.203
9.020	1.203
9.030	1.203
9.040	1.203
9.050	1.203
9.060	1.202
9.070	1.202
9.080	1.202
9.090	1.202
9.100	1.202
9.110	1.201
9.120	1.201
9.130	1.201
9.140	1.201
9.150	1.201
9.160	1.200
9.170	1.200
9.180	1.200
9.190	1.200
9.200	1.200
9.210	1.199
9.220	1.199
9.230	1.199
9.240	1.199
9.250	1.199
9.260	1.198
9.270	1.198
9.280	1.198
9.290	1.198
9.300	1.198
9.310	1.197
9.320	1.197
9.330	1.197
9.340	1.197
9.350	1.197
9.360	1.196
9.370	1.196
9.380	1.196
9.390	1.196
9.400	1.196
9.410	1.195
9.420	1.195
9.430	1.195
9.440	1.195
9.450	1.195
9.460	1.194
9.470	1.194
9.480	1.194
9.490	1.194
9.500	1.194
9.510	1.193
9.520	1.193
9.530	1.193
9.540	1.193
9.550	1.193
9.560	1.192
9.570	1.192
9.580	1.192
9.590	1.192
9.600	1.191
9.610	1.191
9.620	1.191
9.630	1.191
9.640	1.191
9.650	1.190
9.660	1.190
9.670	1.190
9.680	1.190
9.690	1.190
9.700	1.189
9.710	1.189
9.720	1.189
9.730	1.189
9.740	1.189
9.750	1.188
9.760	1.188
9.770	1.188
9.780	1.188
9.790	1.188
9.800	1.187
9.810	1.187
9.820	1.187
9.830	1.187
9.840	1.187
9.850	1.186
9.860	1.186
9.870	1.186
9.880	1.186
9.890	1.186
9.900	1.185
9.910	1.185
9.920	1.185
9.930	1.185
9.940	1.185
9.950	1.184
9.960	1.184
9.970	1.184
9.980	1.184
9.990	1.184
10.000	1.184
10.010	1.183
10.020	1.183
10.030	1.183
10.040	1.183
10.050	1.183
10.060	1.182
10.070	1.182
10.080	1.182
10.090	1.182
10.100	1.182
10.110	1.181
10.120	1.181
10.130	1.181
10.140	1.181
10.150	1.181
10.160	1.181
10.170	1.180
10.180	1.180
10.190	1.180
10.200	1.180
10.210	1.180
10.220	1.179
10.230	1.179
10.240	1.179
10.250	1.179
10.260	1.179
10.270	1.178
10.280	1.178
10.290	1.178
10.300	1.178
10.310	1.178
10.320	1.178
10.330	1.177
10.340	1.177
10.350	1.177
10.360	1.177
10.370	1.177
10.380	1.176
10.390	1.176
10.400	1.176
10.410	1.176
10.420	1.176
10.430	1.175
10.440	1.175
10.450	1.175
10.460	1.175
10.470	1.175
10.480	1.175
10.490	1.174
10.500	1.174
10.510	1.174
10.520	1.174
10.530	1.174
10.540	1.173
10.550	1.173
10.560	1.173
10.570	1.173
10.580	1.173
10.590	1.172
10.600	1.172
10.610	1.172
10.620	1.172
10.630	1.172
10.640	1.171
10.650	1.171
10.660	1.171
10.670	1.171
10.680	1.171
10.690	1.171
10.700	1.170
10.710	1.170
10.720	1.170
10.730	1.170
10.740	1.170
10.750	1.169
10.760	1.169
10.770	1.169
10.780	1.169
10.790	1.169
10.800	1.168
10.810	1.168
10.820	1.168
10.830	1.168
10.840	1.168
10.850	1.167
10.860	1.167
10.870	1.167
10.880	1.167
10.890	1.167
10.900	1.167
10.910	1.166
10.920	1.166
10.930	1.166
10.940	1.166
10.950	1.166
10.960	1.165
10.970	1.165
10.980	1.165
10.990	1.165
11.000	1.165
11.010	1.164
11.020	1.164
11.030	1.164
11.040	1.164
11.050	1.164
11.060	1.163
11.070	1.163
11.080	1.163
11.090	1.163
11.100	1.163
11.110	1.162
11.120	1.162
11.130	1.162
11.140	1.162
11.150	1.162
11.160	1.161
11.170	1.161
11.180	1.161
11.190	1.161
11.200	1.161
11.210	1.160
11.220	1.160
11.230	1.160
11.240	1.160
11.250	1.160
11.260	1.159
11.270	1.159
11.280	1.159
11.290	1.159
11.300	1.159
11.310	1.158
11.320	1.158
11.330	1.158
11.340	1.158
11.350	1.158
11.360	1.158
11.370	1.157
11.380	1.157
11.390	1.157
11.400	1.157
11.410	1.157
11.420	1.156
11.430	1.156
11.440	1.156
11.450	1.156
11.460	1.156
11.470	1.155
11.480	1.155
11.490	1.155
11.500	1.155
11.510	1.155
11.520	1.154
11.530	1.154
11.540	1.154
11.550	1.154
11.560	1.154
11.570	1.153
11.580	1.153
11.590	1.153
11.600	1.153
11.610	1.153
11.620	1.152
11.630	1.152
11.640	1.152
11.650	1.152
11.660	1.152
11.670	1.151
11.680	1.151
11.690	1.151
11.700	1.151
11.710	1.151
11.720	1.150
11.730	1.150
11.740	1.150
11.750	1.150
11.760	1.150
11.770	1.149
11.780	1.149
11.790	1.149
11.800	1.149
11.810	1.149
11.820	1.148
11.830	1.148
11.840	1.148
11.850	1.148
11.860	1.148
11.870	1.147
11.880	1.147
11.890	1.147
11.900	1.147
11.910	1.147
11.920	1.146
11.930	1.146
11.940	1.146
11.950	1.146
11.960	1.146
11.970	1.145
11.980	1.145
11.990	1.145
12.000	1.145
12.010	1.145
12.020	1.144
12.030	1.144
12.040	1.144
12.050	1.144
12.060	1.144
12.070	1.143
12.080	1.143
12.090	1.143
12.100	1.143
12.110	1.142
12.120	1.142
12.130	1.142
12.140	1.142
12.150	1.142
12.160	1.141
12.170	1.141
12.180	1.141
12.190	1.141
12.200	1.141
12.210	1.140
12.220	1.140
12.230	1.140
12.240	1.140
12.250	1.140
12.260	1.139
12.270	1.139
12.280	1.139
12.290	1.139
12.300	1.139
12.310	1.138
12.320	1.138
12.330	1.138
12.340	1.138
12.350	1.138
12.360	1.137
12.370	1.137
12.380	1.137
12.390	1.137
12.400	1.137
12.410	1.136
12.420	1.136
12.430	1.136
12.440	1.136
12.450	1.136
12.460	1.135
12.470	1.135
12.480	1.135
12.490	1.135
12.500	1.135
12.510	1.134
12.520	1.134
12.530	1.134
12.540	1.134
12.550	1.134
12.560	1.133
12.570	1.133
12.580	1.133
12.590	1.133
12.600	1.132
12.610	1.132
12.620	1.132
12.630	1.132
12.640	1.132
12.650	1.131
12.660	1.131
12.670	1.131
12.680	1.131
12.690	1.131
12.700	1.130
12.710	1.130
12.720	1.130
12.730	1.130
12.740	1.130
12.750	1.129
12.760	1.129
12.770	1.129
12.780	1.129
12.790	1.129
12.800	1.128
12.810	1.128
12.820	1.128
12.830	1.128
12.840	1.128
12.850	1.127
12.860	1.127
12.870	1.127
12.880	1.127
12.890	1.127
12.900	1.126
12.910	1.126
12.920	1.126
12.930	1.126
12.940	1.125
12.950	1.125
12.960	1.125
12.970	1.125
12.980	1.125
12.990	1.124
13.000	1.124
13.010	1.124
13.020	1.124
13.030	1.124
13.040	1.123
13.050	1.123
13.060	1.123
13.070	1.123
13.080	1.123
13.090	1.122
13.100	1.122
13.110	1.122
13.120	1.122
13.130	1.122
13.140	1.121
13.150	1.121
13.160	1.121
13.170	1.121
13.180	1.120
13.190	1.120
13.200	1.120
13.210	1.120
13.220	1.120
13.230	1.119
13.240	1.119
13.250	1.119
13.260	1.119
13.270	1.119
13.280	1.118
13.290	1.118
13.300	1.118
13.310	1.118
13.320	1.118
13.330	1.117
13.340	1.117
13.350	1.117
13.360	1.117
13.370	1.117
13.380	1.116
13.390	1.116
13.400	1.116
13.410	1.116
13.420	1.115
13.430	1.115
13.440	1.115
13.450	1.115
13.460	1.115
13.470	1.114
13.480	1.114
13.490	1.114
13.500	1.114
13.510	1.114
13.520	1.113
13.530	1.113
13.540	1.113
13.550	1.113
13.560	1.113
13.570	1.112
13.580	1.112
13.590	1.112
13.600	1.112
13.610	1.111
13.620	1.111
13.630	1.111
13.640	1.111
13.650	1.111
13.660	1.110
13.670	1.110
13.680	1.110
13.690	1.110
13.700	1.110
13.710	1.109
13.720	1.109
13.730	1.109
13.740	1.109
13.750	1.109
13.760	1.108
13.770	1.108
13.780	1.108
13.790	1.108
13.800	1.107
13.810	1.107
13.820	1.107
13.830	1.107
13.840	1.107
13.850	1.106
13.860	1.106
13.870	1.106
13.880	1.106
13.890	1.106
13.900	1.105
13.910	1.105
13.920	1.105
13.930	1.105
13.940	1.105
13.950	1.104
13.960	1.104
13.970	1.104
13.980	1.104
13.990	1.103
14.000	1.103
14.010	1.103
14.020	1.103
14.030	1.103
14.040	1.102
14.050	1.102
14.060	1.102
14.070	1.102
14.080	1.102
14.090	1.101
14.100	1.101
14.110	1.101
14.120	1.101
14.130	1.100
14.140	1.100
14.150	1.100
14.160	1.100
14.170	1.100
14.180	1.099
14.190	1.099
14.200	1.099
14.210	1.099
14.220	1.099
14.230	1.098
14.240	1.098
14.250	1.098
14.260	1.098
14.270	1.098
14.280	1.097
14.290	1.097
14.300	1.097
14.310	1.097
14.320	1.096
14.330	1.096
14.340	1.096
14.350	1.096
14.360	1.096
14.370	1.095
14.380	1.095
14.390	1.095
14.400	1.095
14.410	1.095
14.420	1.094
14.430	1.094
14.440	1.094
14.450	1.094
14.460	1.093
14.470	1.093
14.480	1.093
14.490	1.093
14.500	1.093
14.510	1.092
14.520	1.092
14.530	1.092
14.540	1.092
14.550	1.092
14.560	1.091
14.570	1.091
14.580	1.091
14.590	1.091
14.600	1.090
14.610	1.090
14.620	1.090
14.630	1.090
14.640	1.090
14.650	1.089
14.660	1.089
14.670	1.089
14.680	1.089
14.690	1.089
14.700	1.088
14.710	1.088
14.720	1.088
14.730	1.088
14.740	1.088
14.750	1.087
14.760	1.087
14.770	1.087
14.780	1.087
14.790	1.086
14.800	1.086
14.810	1.086
14.820	1.086
14.830	1.086
14.840	1.085
14.850	1.085
14.860	1.085
14.870	1.085
14.880	1.085
14.890	1.084
14.900	1.084
14.910	1.084
14.920	1.084
14.930	1.083
14.940	1.083
14.950	1.083
14.960	1.083
14.970	1.083
14.980	1.082
14.990	1.082
15.000	1.082
15.010	1.082
15.020	1.082
15.030	1.081
15.040	1.081
15.050	1.081
15.060	1.081
15.070	1.080
15.080	1.080
15.090	1.080
15.100	1.080
15.110	1.080
15.120	1.079
15.130	1.079
15.140	1.079
15.150	1.079
15.160	1.079
15.170	1.078
15.180	1.078
15.190	1.078
15.200	1.078
15.210	1.077
15.220	1.077
15.230	1.077
15.240	1.077
15.250	1.077
15.260	1.076
15.270	1.076
15.280	1.076
15.290	1.076
15.300	1.076
15.310	1.075
15.320	1.075
15.330	1.075
15.340	1.075
15.350	1.074
15.360	1.074
15.370	1.074
15.380	1.074
15.390	1.074
15.400	1.073
15.410	1.073
15.420	1.073
15.430	1.073
15.440	1.073
15.450	1.072
15.460	1.072
15.470	1.072
15.480	1.072
15.490	1.071
15.500	1.071
15.510	1.071
15.520	1.071
15.530	1.071
15.540	1.070
15.550	1.070
15.560	1.070
15.570	1.070
15.580	1.070
15.590	1.069
15.600	1.069
15.610	1.069
15.620	1.069
15.630	1.068
15.640	1.068
15.650	1.068
15.660	1.068
15.670	1.068
15.680	1.067
15.690	1.067
15.700	1.067
15.710	1.067
15.720	1.066
15.730	1.066
15.740	1.066
15.750	1.066
15.760	1.066
15.770	1.065
15.780	1.065
15.790	1.065
15.800	1.065
15.810	1.065
15.820	1.064
15.830	1.064
15.840	1.064
15.850	1.064
15.860	1.063
15.870	1.063
15.880	1.063
15.890	1.063
15.900	1.063
15.910	1.062
15.920	1.062
15.930	1.062
15.940	1.062
15.950	1.062
15.960	1.061
15.970	1.061
15.980	1.061
15.990	1.061
16.000	1.060
16.010	1.060
16.020	1.060
16.030	1.060
16.040	1.060
16.050	1.059
16.060	1.059
16.070	1.059
16.080	1.059
16.090	1.059
16.100	1.058
16.110	1.058
16.120	1.058
16.130	1.058
16.140	1.057
16.150	1.057
16.160	1.057
16.170	1.057
16.180	1.057
16.190	1.056
16.200	1.056
16.210	1.056
16.220	1.056
16.230	1.056
16.240	1.055
16.250	1.055
16.260	1.055
16.270	1.055
16.280	1.054
16.290	1.054
16.300	1.054
16.310	1.054
16.320	1.054
16.330	1.053
16.340	1.053
16.350	1.053
16.360	1.053
16.370	1.052
16.380	1.052
16.390	1.052
16.400	1.052
16.410	1.052
16.420	1.051
16.430	1.051
16.440	1.051
16.450	1.051
16.460	1.051
16.470	1.050
16.480	1.050
16.490	1.050
16.500	1.050
16.510	1.049
16.520	1.049
16.530	1.049
16.540	1.049
16.550	1.049
16.560	1.048
16.570	1.048
16.580	1.048
16.590	1.048
16.600	1.048
16.610	1.047
16.620	1.047
16.630	1.047
16.640	1.047
16.650	1.046
16.660	1.046
16.670	1.046
16.680	1.046
16.690	1.046
16.700	1.045
16.710	1.045
16.720	1.045
16.730	1.045
16.740	1.045
16.750	1.044
16.760	1.044
16.770	1.044
16.780	1.044
16.790	1.043
16.800	1.043
16.810	1.043
16.820	1.043
16.830	1.043
16.840	1.042
16.850	1.042
16.860	1.042
16.870	1.042
16.880	1.041
16.890	1.041
16.900	1.041
16.910	1.041
16.920	1.041
16.930	1.040
16.940	1.040
16.950	1.040
16.960	1.040
16.970	1.040
16.980	1.039
16.990	1.039
17.000	1.039
17.010	1.039
17.020	1.038
17.030	1.038
17.040	1.038
17.050	1.038
17.060	1.038
17.070	1.037
17.080	1.037
17.090	1.037
17.100	1.037
17.110	1.037
17.120	1.036
17.130	1.036
17.140	1.036
17.150	1.036
17.160	1.035
17.170	1.035
17.180	1.035
17.190	1.035
17.200	1.035
17.210	1.034
17.220	1.034
17.230	1.034
17.240	1.034
17.250	1.034
17.260	1.033
17.270	1.033
17.280	1.033
17.290	1.033
17.300	1.032
17.310	1.032
17.320	1.032
17.330	1.032
17.340	1.032
17.350	1.031
17.360	1.031
17.370	1.031
17.380	1.031
17.390	1.030
17.400	1.030
17.410	1.030
17.420	1.030
17.430	1.030
17.440	1.029
17.450	1.029
