t(c)	x(m)
5.270	96.19
5.280	96.59
5.290	96.99
5.300	97.39
5.310	97.79
5.320	98.20
5.330	98.60
5.340	99.00
5.350	99.41
5.360	99.81
5.370	100.22
5.380	100.63
5.390	101.04
5.400	101.45
5.410	101.86
5.420	102.27
5.430	102.68
5.440	103.10
5.450	103.51
5.460	103.93
5.470	104.34
5.480	104.76
5.490	105.18
5.500	105.60
5.510	106.02
5.520	106.44
5.530	106.86
5.540	107.28
5.550	107.71
5.560	108.13
5.570	108.56
5.580	108.98
5.590	109.41
5.600	109.84
5.610	110.27
5.620	110.70
5.630	111.13
5.640	111.56
5.650	111.99
5.660	112.43
5.670	112.86
5.680	113.30
5.690	113.74
5.700	114.17
5.710	114.61
5.720	115.05
5.730	115.49
5.740	115.94
5.750	116.38
5.760	116.82
5.770	117.27
5.780	117.71
5.790	118.16
5.800	118.60
5.810	119.05
5.820	119.50
5.830	119.95
5.840	120.40
5.850	120.86
5.860	121.31
5.870	121.76
5.880	122.22
5.890	122.67
5.900	123.13
5.910	123.59
5.920	124.05
5.930	124.51
5.940	124.97
5.950	125.43
5.960	125.89
5.970	126.35
5.980	126.82
5.990	127.28
6.000	127.75
6.010	128.22
6.020	128.68
6.030	129.15
6.040	129.62
6.050	130.09
6.060	130.57
6.070	131.04
6.080	131.51
6.090	131.99
6.100	132.46
6.110	132.94
6.120	133.42
6.130	133.90
6.140	134.38
6.150	134.86
6.160	135.34
6.170	135.82
6.180	136.30
6.190	136.79
6.200	137.27
6.210	137.76
6.220	138.25
6.230	138.74
6.240	139.22
6.250	139.71
6.260	140.21
6.270	140.70
6.280	141.19
6.290	141.68
6.300	142.18
6.310	142.68
6.320	143.17
6.330	143.67
6.340	144.17
6.350	144.67
6.360	145.17
6.370	145.67
6.380	146.17
6.390	146.68
6.400	147.18
6.410	147.69
6.420	148.19
6.430	148.70
6.440	149.21
6.450	149.72
6.460	150.23
6.470	150.74
6.480	151.25
6.490	151.76
6.500	152.28
6.510	152.79
6.520	153.31
6.530	153.83
6.540	154.34
6.550	154.86
6.560	155.38
6.570	155.90
6.580	156.43
6.590	156.95
6.600	157.47
6.610	158.00
6.620	158.52
6.630	159.05
6.640	159.58
6.650	160.11
6.660	160.63
6.670	161.17
6.680	161.70
6.690	162.23
6.700	162.76
6.710	163.30
6.720	163.83
6.730	164.37
6.740	164.91
6.750	165.44
6.760	165.98
