x(m)	y(m)
253.05	1273.65
253.73	1276.65
254.41	1279.66
255.09	1282.67
255.77	1285.68
256.45	1288.70
257.13	1291.72
257.82	1294.74
258.50	1297.77
259.19	1300.80
259.88	1303.83
260.56	1306.87
261.25	1309.91
261.94	1312.95
262.63	1315.99
263.33	1319.04
264.02	1322.10
264.71	1325.15
265.41	1328.21
266.10	1331.27
266.80	1334.34
267.50	1337.41
268.19	1340.48
268.89	1343.55
269.59	1346.63
270.29	1349.71
271.00	1352.80
271.70	1355.88
272.40	1358.97
273.11	1362.07
273.81	1365.16
274.52	1368.26
275.23	1371.37
275.94	1374.48
276.65	1377.58
277.36	1380.70
278.07	1383.81
278.78	1386.93
279.50	1390.06
280.21	1393.18
280.93	1396.31
281.64	1399.44
282.36	1402.58
283.08	1405.72
283.80	1408.86
284.52	1412.00
285.24	1415.15
285.96	1418.30
286.68	1421.46
287.41	1424.61
288.13	1427.77
288.86	1430.94
289.59	1434.10
290.31	1437.27
291.04	1440.45
291.77	1443.62
292.50	1446.80
293.23	1449.98
293.97	1453.17
294.70	1456.36
295.43	1459.55
296.17	1462.74
296.91	1465.94
297.64	1469.14
298.38	1472.35
299.12	1475.55
299.86	1478.76
300.60	1481.98
301.34	1485.19
302.09	1488.41
302.83	1491.64
303.57	1494.86
304.32	1498.09
305.07	1501.32
305.81	1504.56
306.56	1507.80
307.31	1511.04
308.06	1514.28
308.81	1517.53
309.56	1520.78
310.32	1524.03
311.07	1527.29
311.83	1530.55
312.58	1533.81
313.34	1537.08
314.10	1540.35
314.86	1543.62
315.62	1546.89
316.38	1550.17
317.14	1553.45
317.90	1556.73
318.66	1560.02
319.43	1563.31
320.19	1566.61
320.96	1569.90
321.73	1573.20
322.50	1576.50
323.26	1579.81
324.03	1583.12
324.80	1586.43
325.58	1589.74
326.35	1593.06
327.12	1596.38
327.90	1599.70
328.67	1603.03
329.45	1606.36
330.23	1609.69
331.01	1613.03
331.78	1616.37
332.57	1619.71
333.35	1623.05
334.13	1626.40
334.91	1629.75
335.70	1633.10
336.48	1636.46
337.27	1639.82
338.05	1643.18
338.84	1646.55
339.63	1649.92
340.42	1653.29
341.21	1656.66
342.00	1660.04
342.79	1663.42
343.59	1666.80
344.38	1670.19
345.18	1673.58
345.97	1676.97
346.77	1680.37
347.57	1683.77
348.37	1687.17
349.17	1690.57
349.97	1693.98
350.77	1697.39
351.57	1700.81
352.37	1704.22
353.18	1707.64
353.98	1711.07
354.79	1714.49
355.60	1717.92
356.41	1721.35
357.21	1724.79
358.02	1728.22
358.84	1731.66
359.65	1735.11
360.46	1738.55
361.27	1742.00
362.09	1745.45
362.90	1748.91
363.72	1752.37
364.54	1755.83
365.36	1759.29
366.18	1762.76
367.00	1766.23
367.82	1769.70
368.64	1773.18
369.46	1776.66
370.29	1780.14
371.11	1783.63
371.94	1787.11
372.77	1790.60
373.59	1794.10
374.42	1797.59
375.25	1801.09
376.08	1804.60
376.91	1808.10
377.75	1811.61
378.58	1815.12
379.41	1818.64
380.25	1822.15
381.08	1825.67
381.92	1829.20
382.76	1832.72
383.60	1836.25
384.44	1839.78
385.28	1843.32
386.12	1846.86
386.96	1850.40
387.81	1853.94
388.65	1857.49
389.50	1861.04
390.34	1864.59
391.19	1868.14
392.04	1871.70
392.89	1875.26
393.74	1878.83
394.59	1882.40
395.44	1885.97
396.29	1889.54
397.15	1893.11
398.00	1896.69
398.86	1900.27
399.72	1903.86
400.57	1907.45
401.43	1911.04
402.29	1914.63
403.15	1918.23
404.01	1921.83
404.87	1925.43
405.74	1929.03
406.60	1932.64
407.47	1936.25
408.33	1939.86
409.20	1943.48
410.07	1947.10
410.94	1950.72
411.81	1954.35
412.68	1957.98
413.55	1961.61
414.42	1965.24
415.29	1968.88
416.17	1972.52
417.04	1976.16
417.92	1979.81
418.80	1983.46
419.67	1987.11
420.55	1990.76
421.43	1994.42
422.31	1998.08
423.20	2001.74
424.08	2005.41
424.96	2009.08
425.85	2012.75
426.73	2016.42
427.62	2020.10
428.51	2023.78
429.39	2027.46
430.28	2031.15
431.17	2034.84
432.07	2038.53
432.96	2042.23
433.85	2045.93
434.74	2049.63
435.64	2053.33
436.54	2057.04
437.43	2060.75
438.33	2064.46
439.23	2068.17
440.13	2071.89
441.03	2075.61
441.93	2079.34
442.83	2083.06
443.74	2086.79
444.64	2090.53
445.55	2094.26
446.45	2098.00
447.36	2101.74
448.27	2105.49
449.18	2109.23
450.09	2112.98
451.00	2116.74
451.91	2120.49
452.82	2124.25
453.73	2128.01
454.65	2131.78
455.56	2135.54
456.48	2139.31
457.40	2143.09
458.32	2146.86
459.24	2150.64
460.16	2154.42
461.08	2158.21
462.00	2162.00
462.92	2165.79
463.85	2169.58
464.77	2173.38
465.70	2177.18
466.62	2180.98
467.55	2184.78
468.48	2188.59
469.41	2192.40
470.34	2196.22
471.27	2200.03
472.21	2203.85
473.14	2207.67
474.07	2211.50
475.01	2215.33
475.95	2219.16
476.88	2222.99
477.82	2226.83
478.76	2230.67
479.70	2234.51
480.64	2238.36
481.58	2242.21
482.53	2246.06
483.47	2249.91
484.41	2253.77
485.36	2257.63
486.31	2261.49
487.25	2265.36
488.20	2269.22
489.15	2273.10
490.10	2276.97
491.05	2280.85
492.01	2284.73
492.96	2288.61
493.92	2292.50
494.87	2296.38
495.83	2300.28
496.78	2304.17
497.74	2308.07
498.70	2311.97
499.66	2315.87
500.62	2319.78
501.58	2323.69
502.55	2327.60
503.51	2331.51
504.47	2335.43
505.44	2339.35
506.41	2343.27
507.37	2347.20
508.34	2351.13
509.31	2355.06
510.28	2358.99
511.25	2362.93
512.23	2366.87
513.20	2370.82
514.17	2374.76
515.15	2378.71
516.13	2382.66
517.10	2386.62
518.08	2390.58
519.06	2394.54
520.04	2398.50
521.02	2402.47
522.00	2406.44
522.99	2410.41
523.97	2414.38
524.95	2418.36
525.94	2422.34
526.93	2426.32
527.91	2430.31
528.90	2434.30
529.89	2438.29
530.88	2442.29
531.87	2446.28
532.87	2450.29
533.86	2454.29
534.85	2458.30
535.85	2462.30
536.84	2466.32
537.84	2470.33
538.84	2474.35
539.84	2478.37
540.84	2482.39
541.84	2486.42
542.84	2490.45
543.84	2494.48
544.85	2498.52
545.85	2502.56
546.86	2506.60
547.87	2510.64
548.87	2514.69
549.88	2518.74
550.89	2522.79
551.90	2526.84
552.91	2530.90
553.93	2534.96
554.94	2539.03
555.95	2543.09
556.97	2547.16
557.98	2551.23
559.00	2555.31
560.02	2559.39
561.04	2563.47
562.06	2567.55
563.08	2571.64
564.10	2575.73
565.13	2579.82
566.15	2583.92
567.17	2588.01
568.20	2592.11
569.23	2596.22
570.25	2600.32
571.28	2604.43
572.31	2608.55
573.34	2612.66
574.38	2616.78
575.41	2620.90
576.44	2625.02
577.48	2629.15
578.51	2633.28
579.55	2637.41
580.58	2641.55
581.62	2645.69
582.66	2649.83
583.70	2653.97
584.74	2658.12
585.79	2662.27
586.83	2666.42
587.87	2670.57
588.92	2674.73
589.96	2678.89
591.01	2683.06
592.06	2687.22
593.11	2691.39
594.16	2695.56
595.21	2699.74
596.26	2703.92
597.31	2708.10
598.37	2712.28
599.42	2716.47
600.48	2720.66
601.53	2724.85
602.59	2729.04
603.65	2733.24
604.71	2737.44
605.77	2741.65
606.83	2745.85
607.89	2750.06
608.96	2754.27
610.02	2758.49
611.09	2762.71
612.15	2766.93
613.22	2771.15
614.29	2775.38
615.36	2779.60
616.43	2783.84
617.50	2788.07
618.57	2792.31
619.64	2796.55
620.72	2800.79
621.79	2805.04
